GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600050022102,36,5,22102,463,249,712,0.65028089
G3600050022200,36,5,22200,109,263,372,0.29301074
G3600050022300,36,5,22300,352,357,709,0.49647391
G3600050022401,36,5,22401,34,182,216,0.1574074
G3600050022403,36,5,22403,107,263,370,0.28918919
G3600050022404,36,5,22404,104,353,457,0.22757111
G3600050022500,36,5,22500,363,557,920,0.39456522
G3600050022701,36,5,22701,256,246,502,0.50996017
G3600050022702,36,5,22702,58,120,178,0.32584271
G3600050022703,36,5,22703,96,157,253,0.37944663
G3600050022800,36,5,22800,283,478,761,0.3718791
G3600050022901,36,5,22901,356,393,749,0.4753004
G3600050022902,36,5,22902,277,246,523,0.52963674
G3600050023000,36,5,23000,109,254,363,0.30027547
G3600050023100,36,5,23100,63,103,166,0.37951806
G3600050023200,36,5,23200,135,243,378,0.35714287
G3600050023301,36,5,23301,322,265,587,0.54855198
G3600050023302,36,5,23302,253,139,392,0.64540815
G3600050023501,36,5,23501,285,108,393,0.72519082
G3600050023502,36,5,23502,365,180,545,0.66972476
G3600050023600,36,5,23600,108,158,266,0.40601504
G3600050023702,36,5,23702,60,39,99,0.60606062
G3600050023703,36,5,23703,335,345,680,0.49264705
G3600050023704,36,5,23704,354,159,513,0.69005847
G3600050023800,36,5,23800,113,238,351,0.32193732
G3600050023900,36,5,23900,706,367,1073,0.65796834
G3600050024000,36,5,24000,186,341,527,0.35294119
G3600050024100,36,5,24100,391,446,837,0.46714458
G3600050024300,36,5,24300,384,319,703,0.54623044
G3600050024400,36,5,24400,38,280,318,0.11949685
G3600050024501,36,5,24501,314,240,554,0.566787
G3600050024502,36,5,24502,309,121,430,0.71860462
G3600050024600,36,5,24600,7,123,130,0.053846154
G3600050024700,36,5,24700,126,143,269,0.46840149
G3600050024800,36,5,24800,48,170,218,0.22018349
G3600050024900,36,5,24900,0,0,0,-99
G3600050025000,36,5,25000,10,256,266,0.037593983
G3600050025100,36,5,25100,205,360,565,0.36283186
G3600050025200,36,5,25200,64,173,237,0.27004218
G3600050025300,36,5,25300,214,405,619,0.34571889
G3600050025400,36,5,25400,42,147,189,0.22222222
G3600050025500,36,5,25500,542,231,773,0.70116431
G3600050025600,36,5,25600,29,106,135,0.21481481
G3600050025700,36,5,25700,28,67,95,0.29473683
G3600050026100,36,5,26100,38,106,144,0.2638889
G3600050026300,36,5,26300,273,338,611,0.44680852
G3600050026400,36,5,26400,71,445,516,0.13759691
G3600050026500,36,5,26500,266,410,676,0.39349112
G3600050026601,36,5,26601,75,151,226,0.3318584
G3600050026602,36,5,26602,109,404,513,0.21247563
G3600050026701,36,5,26701,172,210,382,0.45026177
G3600050026702,36,5,26702,343,528,871,0.39380023
G3600050026900,36,5,26900,200,316,516,0.38759691
G3600050027300,36,5,27300,329,626,955,0.34450263
G3600050027401,36,5,27401,0,330,330,0
G3600050027402,36,5,27402,60,189,249,0.24096386
G3600050027600,36,5,27600,4,8,12,0.33333334
G3600050027700,36,5,27700,275,369,644,0.42701864
G3600050027900,36,5,27900,171,393,564,0.30319148
G3600050028100,36,5,28100,0,180,180,0
G3600050028300,36,5,28300,206,253,459,0.44880176
G3600050028400,36,5,28400,0,14,14,0
G3600050028500,36,5,28500,75,181,256,0.29296875
G3600050028600,36,5,28600,13,72,85,0.15294118
G3600050028700,36,5,28700,100,285,385,0.25974026
G3600050028800,36,5,28800,29,288,317,0.091482647
G3600050028900,36,5,28900,51,371,422,0.12085308
G3600050029301,36,5,29301,45,122,167,0.26946107
G3600050029302,36,5,29302,0,324,324,0
G3600050029500,36,5,29500,43,290,333,0.12912913
G3600050029600,36,5,29600,29,106,135,0.21481481
